dew,humidity,pressure,rainfall,rainrate,temperature,timestamp,volt
25.15701,93.87221,1011.989,0.0,0.0,26.22568,2025-05-01 00:00:36+07:00,4.21625
25.17367,94.00954,1011.983,0.0,0.0,26.21767,2025-05-01 00:01:36+07:00,4.215
25.16965,94.00191,1011.967,0.0,0.0,26.215,2025-05-01 00:02:36+07:00,4.21375
25.13505,93.91226,1011.95,0.0,0.0,26.1963,2025-05-01 00:03:36+07:00,4.215
25.14932,93.91798,1011.966,0.0,0.0,26.20966,2025-05-01 00:04:36+07:00,4.215
25.15348,94.07439,1011.94,0.0,0.0,26.18562,2025-05-01 00:05:36+07:00,4.215
25.15724,94.09537,1011.939,0.0,0.0,26.18562,2025-05-01 00:06:36+07:00,4.2175
25.16679,94.14877,1011.941,0.0,0.0,26.18562,2025-05-01 00:07:36+07:00,4.2175
25.19549,94.19073,1011.932,0.0,0.0,26.20699,2025-05-01 00:08:36+07:00,4.21375
25.16392,94.23651,1011.928,0.0,0.0,26.16693,2025-05-01 00:09:36+07:00,4.21625
25.13397,94.14305,1011.938,0.0,0.0,26.15358,2025-05-01 00:10:36+07:00,4.21375
25.13162,94.01144,1011.961,0.0,0.0,26.17494,2025-05-01 00:11:36+07:00,4.215
25.13431,94.14496,1011.927,0.0,0.0,26.15358,2025-05-01 00:12:36+07:00,4.21375
25.13741,94.103,1011.92,0.0,0.0,26.16426,2025-05-01 00:13:36+07:00,4.21125
25.13943,94.17357,1011.909,0.0,0.0,26.15358,2025-05-01 00:14:36+07:00,4.21625
25.15945,94.27085,1011.895,0.0,0.0,26.15625,2025-05-01 00:15:36+07:00,4.215
25.10931,94.04959,1011.885,0.0,0.0,26.14557,2025-05-01 00:16:36+07:00,4.2175
25.11227,94.11063,1011.866,0.0,0.0,26.13756,2025-05-01 00:17:36+07:00,4.21625
25.11012,94.14305,1011.874,0.0,0.0,26.12955,2025-05-01 00:18:36+07:00,4.215
25.09657,94.21553,1011.889,0.0,0.0,26.10284,2025-05-01 00:19:36+07:00,4.2175
25.08116,94.24796,1011.878,0.0,0.0,26.08148,2025-05-01 00:20:36+07:00,4.215
25.09796,94.29755,1011.858,0.0,0.0,26.08949,2025-05-01 00:21:36+07:00,4.21625
25.10979,94.34905,1011.864,0.0,0.0,26.09216,2025-05-01 00:22:36+07:00,4.21625
25.11375,94.41581,1011.872,0.0,0.0,26.08415,2025-05-01 00:23:36+07:00,4.215
25.12197,94.47684,1011.866,0.0,0.0,26.08148,2025-05-01 00:24:36+07:00,4.21625
25.10226,94.44061,1011.859,0.0,0.0,26.06813,2025-05-01 00:25:36+07:00,4.215
25.09499,94.37003,1011.849,0.0,0.0,26.07347,2025-05-01 00:26:36+07:00,4.205
25.08458,94.34142,1011.835,0.0,0.0,26.06813,2025-05-01 00:27:36+07:00,4.21375
25.11462,94.53979,1011.827,0.0,0.0,26.06279,2025-05-01 00:28:36+07:00,4.21375
25.11354,94.51881,1011.818,0.0,0.0,26.06546,2025-05-01 00:29:36+07:00,4.21625
25.1287,94.49973,1011.838,0.0,0.0,26.08415,2025-05-01 00:30:36+07:00,4.215
25.14185,94.63325,1011.814,0.0,0.0,26.07347,2025-05-01 00:31:36+07:00,4.21625
25.09727,94.59129,1011.794,0.0,0.0,26.03609,2025-05-01 00:32:36+07:00,4.21625
25.07949,94.46159,1011.789,0.0,0.0,26.04143,2025-05-01 00:33:36+07:00,4.20625
25.11122,94.52071,1011.801,0.0,0.0,26.06279,2025-05-01 00:34:36+07:00,4.215
25.09736,94.45777,1011.803,0.0,0.0,26.06012,2025-05-01 00:35:36+07:00,4.215
25.11484,94.67521,1011.774,0.0,0.0,26.03876,2025-05-01 00:36:36+07:00,4.2125
25.1027,94.6218,1011.732,0.0,0.0,26.03609,2025-05-01 00:37:36+07:00,4.215
25.10713,94.57221,1011.727,0.0,0.0,26.04944,2025-05-01 00:38:36+07:00,4.21375
